date,price
2023-11-15,1980.5154306252414
2023-11-16,2061.635532253063
2023-11-17,1962.243839589886
2023-11-18,1956.5174321166123
2023-11-19,1962.6305661102026
2023-11-20,2011.1267210635335
2023-11-21,2022.3881475372507
2023-11-22,1940.4448103653
2023-11-23,2065.9414413104028
2023-11-24,2062.269551857858
2023-11-25,2080.8517575183496
2023-11-26,2085.426621540017
2023-11-27,2064.0742181655314
2023-11-28,2030.000505811856
2023-11-29,2048.535256652576
2023-11-30,2025.9373276989
2023-12-01,2051.7567179446996
2023-12-02,2085.7123613209396
2023-12-03,2165.297880951399
2023-12-04,2190.7040403697074
2023-12-05,2242.961542677477
2023-12-06,2294.0951698534136
2023-12-07,2232.0254402104606
2023-12-08,2354.386930946088
2023-12-09,2359.8890564833255
2023-12-10,2341.07248115182
2023-12-11,2352.0987284889175
2023-12-12,2222.3468384000316
2023-12-13,2200.3337161808727
2023-12-14,2260.8823525751127
2023-12-15,2317.4650743736975
2023-12-16,2219.9516178764084
2023-12-17,2227.936447135476
2023-12-18,2199.5401211883855
2023-12-19,2216.929013563485
2023-12-20,2176.8394126574362
2023-12-21,2198.421404460542
2023-12-22,2236.186961753279
2023-12-23,2327.048962711535
2023-12-24,2310.955662998272
2023-12-25,2264.911143671657
2023-12-26,2273.6326121146535
2023-12-27,2230.8761843957795
2023-12-28,2376.771249284193
2023-12-29,2345.2607087446872
2023-12-30,2299.5262072752594
2023-12-31,2294.3440063451
2024-01-01,2279.9410085689606
2024-01-02,2350.0262860085095
2024-01-03,2360.7821195890947
2024-01-04,2211.1708278638766
2024-01-05,2270.977439333732
2024-01-06,2267.087035484658
2024-01-07,2241.5108270042424
2024-01-08,2220.151561688879
2024-01-09,2331.6603294356382
2024-01-10,2341.160624264102
2024-01-11,2588.769163919145
2024-01-12,2618.3298618964914
2024-01-13,2524.5016938912413
2024-01-14,2575.9247354333543
2024-01-15,2477.9374784307734
2024-01-16,2515.3199803936955
2024-01-17,2589.4826316304293
2024-01-18,2528.3287854519394
2024-01-19,2467.3289785137254
2024-01-20,2489.6180646533794
2024-01-21,2470.2636151036777
2024-01-22,2454.909543339834
2024-01-23,2307.5870034987734
2024-01-24,2241.942776155338
2024-01-25,2236.7393130974074
2024-01-26,2219.6145274459245
2024-01-27,2268.8707315074744
2024-01-28,2267.907851752534
2024-01-29,2257.0544646456055
2024-01-30,2314.59472753004
2024-01-31,2344.001400019654
2024-02-01,2282.4858670158414
2024-02-02,2301.737299308667
2024-02-03,2307.4329984830933
2024-02-04,2294.7159248044077
2024-02-05,2290.084492877089
2024-02-06,2298.669906674278
2024-02-07,2372.7608787345252
2024-02-08,2424.0730404652095
2024-02-09,2420.9685614791365
2024-02-10,2487.8508971967804
2024-02-11,2499.4921841564314
2024-02-12,2505.076808453919
2024-02-13,2657.990407976775
