date,price
2023-11-15,56.84724399563444
2023-11-16,65.42118249740835
2023-11-17,57.85936549623421
2023-11-18,58.08749906248073
2023-11-19,58.43785104837524
2023-11-20,61.4682208972665
2023-11-21,56.387561224796215
2023-11-22,52.03847144243665
2023-11-23,57.63985489059395
2023-11-24,56.6256819382833
2023-11-25,56.87305815164875
2023-11-26,58.81319665255164
2023-11-27,57.65563041451083
2023-11-28,55.12228632634998
2023-11-29,58.21650838026634
2023-11-30,59.132384073791634
2023-12-01,59.17998717985522
2023-12-02,59.82358486245393
2023-12-03,63.54188841925499
2023-12-04,63.0169956421846
2023-12-05,61.55125929559973
2023-12-06,60.9025608945616
2023-12-07,62.23204453296526
2023-12-08,67.69386460535054
2023-12-09,74.84216401576747
2023-12-10,72.42222406518073
2023-12-11,74.42357981310117
2023-12-12,70.20241559474354
2023-12-13,68.52923871075102
2023-12-14,70.73839652886984
2023-12-15,75.65588800857071
2023-12-16,72.61814382762158
2023-12-17,73.3895965701486
2023-12-18,71.09304612532529
2023-12-19,74.34092711768113
2023-12-20,72.61144991141754
2023-12-21,82.09852590231738
2023-12-22,93.93807648899407
2023-12-23,98.07800224122698
2023-12-24,107.63981717421447
2023-12-25,112.44835843501905
2023-12-26,121.44659325631167
2023-12-27,112.32551605046484
2023-12-28,106.97705414292456
2023-12-29,102.25382476175545
2023-12-30,106.25256071597002
2023-12-31,101.98883539812843
2024-01-01,101.33317837845607
2024-01-02,109.44408162860023
2024-01-03,106.66317351273963
2024-01-04,98.618625629318
2024-01-05,104.8407815170403
2024-01-06,99.79527781452578
2024-01-07,93.67595830573333
2024-01-08,88.92454619256625
2024-01-09,97.65874169169724
2024-01-10,98.7515137293353
2024-01-11,102.41348181114401
2024-01-12,99.98590880200555
2024-01-13,91.49974928746796
2024-01-14,95.63334726603965
2024-01-15,94.11863591050141
2024-01-16,94.39674016420685
2024-01-17,97.55676426862223
2024-01-18,101.50125957317499
2024-01-19,94.28013186654485
2024-01-20,93.32520105608964
2024-01-21,92.58976400255906
2024-01-22,91.1623559089012
2024-01-23,83.43623260957541
2024-01-24,84.09771204633358
2024-01-25,88.97403797468365
2024-01-26,86.98335038241241
2024-01-27,92.36475145633213
2024-01-28,94.07418620571138
2024-01-29,95.96656618849008
2024-01-30,101.41999625662424
2024-01-31,101.49112290376424
2024-02-01,96.93179951000184
2024-02-02,97.79003124090778
2024-02-03,100.46548063117393
2024-02-04,97.76713809513306
2024-02-05,95.47210966234701
2024-02-06,95.66801933804179
2024-02-07,96.91999534970711
2024-02-08,100.8620197849941
2024-02-09,102.90366855652807
2024-02-10,107.0340359221691
2024-02-11,108.9914614336289
2024-02-12,107.42381253614128
2024-02-13,112.03681818642013
